User_Id,Sex,Sports_IF,MovieGenres_IF,MusicGenres_IF,Hobbies_IF,TravelPreferences_IF,FoodPreferences_IF,Books_IF,VideoGames_IF,OutdoorActivities_IF,LifestylePreferences_IF,Age
100,male,"Football, Swimming, Cycling, Badminton, Tennis, Running, Cricket, Gymnastics, Yoga, Basketball","Sci-Fi, Drama, Horror, Mystery","Classical, Country, Reggae, Pop, Folk, Blues, EDM, Hip-hop, Rock",Gardening,"Wildlife Safaris, Cities, Luxury Resorts, Cultural Festivals",,,Adventure,,"Tech Gadgets, DIY Projects",33
101,male,"Running, Yoga, Cricket, Basketball, Football, Badminton, Gymnastics",,"Jazz, Country, Folk, Classical, Reggae, Blues, Pop, EDM, Hip-hop","Reading, Dancing, Painting, Writing, Knitting, Photography, Gaming, Crafting, Gardening",,"Mediterranean, Vegan","Self-help, Romance, Fiction, Fantasy, Biographies, Mystery, Non-Fiction","FPS, Puzzle, RPG, Adventure","Rock Climbing, Surfing, Fishing, Hiking, Picnicking, Skiing, Boating, Bird Watching","Tech Gadgets, Fashion, DIY Projects",31
102,male,Football,Romance,"Reggae, Hip-hop, Classical, Jazz, Rock","Cooking, Photography, Reading, Crafting, Gardening, Writing, Painting, Dancing, Knitting","Beaches, Cultural Festivals, Historical Sites, Road Trips, Adventure Sports, Luxury Resorts, Cities, Countryside, Mountains","Mediterranean, BBQ, Indian, Seafood, Desserts, Chinese, Vegan","Fantasy, Non-Fiction, Science Fiction, Self-help, Thriller, Biographies, Mystery","Simulation, Puzzle, Adventure","Skiing, Surfing, Bird Watching, Hiking, Fishing",Fashion,37
103,male,"Cricket, Running, Swimming, Tennis","Action, Drama, Mystery, Fantasy, Sci-Fi, Romance, Animated, Comedy, Documentary","Blues, Folk","Writing, Photography, Knitting, Cooking, Reading, Gaming, Dancing","Wildlife Safaris, Road Trips, Beaches, Luxury Resorts, Historical Sites, Adventure Sports","Japanese, Desserts, Chinese, Mexican, Vegan, Mediterranean, Indian, Italian, Seafood","Science Fiction, Romance, Self-help, Thriller, Fiction, Fantasy, Biographies, Mystery","Sports, Strategy, FPS","Picnicking, Skiing, Hiking, Fishing, Stargazing, Surfing, Boating","Entrepreneurship, Volunteering, Mindfulness",21
104,male,"Yoga, Cricket, Tennis, Basketball, Gymnastics, Swimming, Cycling, Running","Fantasy, Horror, Comedy, Sci-Fi, Action, Drama, Documentary, Animated, Romance, Mystery","Pop, Rock, Hip-hop, Blues, Reggae, Jazz, Country, Folk, EDM, Classical","Painting, Dancing, Writing",,"Chinese, Italian, Seafood, Japanese, Vegan, Desserts, Mexican","Fantasy, Non-Fiction","FPS, Action","Stargazing, Hiking, Skiing, Camping, Fishing","Fashion, Mindfulness, Minimalism, Fitness, Tech Gadgets, Sustainability",39
105,male,"Cycling, Yoga","Horror, Documentary, Fantasy, Drama, Comedy",,"Writing, Crafting, Painting, Gaming",,"Seafood, BBQ, Japanese, Desserts, Vegan, Italian, Chinese, Indian, Mexican","Fantasy, Romance, Science Fiction, Self-help, Non-Fiction, Biographies","Simulation, Action, FPS","Surfing, Boating, Stargazing, Picnicking, Rock Climbing, Fishing, Skiing, Camping, Hiking","Volunteering, Fitness, Minimalism",33
106,male,"Swimming, Running, Tennis, Basketball","Mystery, Drama, Animated, Horror, Romance",,Crafting,Wildlife Safaris,,"Non-Fiction, Science Fiction, Fantasy, Mystery, Romance, Self-help",Indie,"Hiking, Boating, Rock Climbing, Stargazing, Camping, Surfing","Entrepreneurship, Mindfulness, Fitness",28
107,male,"Cricket, Tennis, Running, Basketball",Comedy,Jazz,,"Cultural Festivals, Luxury Resorts, Adventure Sports",Italian,"Poetry, Fantasy, Science Fiction, Biographies, Thriller, Fiction, Mystery",,"Surfing, Camping, Fishing, Skiing, Rock Climbing, Boating, Picnicking",,25
108,male,"Basketball, Swimming, Football, Yoga, Gymnastics, Tennis, Cycling, Cricket, Running, Badminton","Action, Horror, Drama, Animated, Fantasy, Mystery, Romance, Sci-Fi, Documentary, Comedy","Blues, Rock, Pop, Reggae, Country, Jazz, Classical, Hip-hop",Painting,"Wildlife Safaris, Beaches, Luxury Resorts, Countryside","Indian, BBQ, Italian, Desserts, Chinese, Japanese",,"Indie, Simulation, Fighting","Boating, Camping, Rock Climbing, Fishing, Surfing, Stargazing, Picnicking, Hiking, Skiing","Socializing, Sustainability, Volunteering, Fashion, Minimalism, DIY Projects",32
109,male,"Gymnastics, Running, Tennis","Sci-Fi, Animated, Mystery, Comedy, Drama, Documentary, Horror","EDM, Folk, Reggae, Blues, Rock, Country, Jazz",,"Road Trips, Mountains, Adventure Sports, Historical Sites, Cultural Festivals, Wildlife Safaris, Beaches, Luxury Resorts, Countryside","Japanese, Italian, BBQ, Chinese","Science Fiction, Self-help, Poetry, Fantasy, Thriller, Romance, Biographies, Non-Fiction, Mystery, Fiction","Puzzle, RPG, Action, Strategy, Simulation, Indie, Fighting, Adventure, FPS",Camping,"Mindfulness, Volunteering, Sustainability, Socializing, DIY Projects, Tech Gadgets, Fashion, Entrepreneurship, Fitness",23
110,male,"Running, Yoga, Cycling, Cricket, Basketball, Badminton, Tennis","Documentary, Horror, Action, Mystery","Country, Classical, Pop, EDM, Blues",,"Wildlife Safaris, Cultural Festivals, Road Trips, Countryside, Mountains, Luxury Resorts","Italian, BBQ, Vegan, Seafood, Japanese","Thriller, Fiction, Non-Fiction, Biographies","Sports, Fighting, Indie, FPS, RPG","Bird Watching, Surfing, Boating, Stargazing, Fishing, Camping","DIY Projects, Fashion, Mindfulness",31
111,male,"Basketball, Football, Badminton, Cycling, Running, Yoga, Tennis, Cricket, Swimming, Gymnastics","Drama, Action, Romance","Folk, Hip-hop, Jazz, Blues, EDM, Pop","Crafting, Painting, Cooking, Writing, Gardening, Photography, Gaming, Reading, Dancing","Beaches, Luxury Resorts, Wildlife Safaris, Mountains, Cultural Festivals",,"Biographies, Thriller, Romance, Fiction, Non-Fiction","Sports, Strategy, Puzzle, Fighting, RPG, Adventure, FPS, Indie, Action",Stargazing,,26
112,male,"Basketball, Swimming, Cycling, Football, Tennis, Badminton, Yoga, Gymnastics","Mystery, Horror","Jazz, Pop, Reggae, Country, EDM, Folk, Rock, Blues, Hip-hop","Dancing, Reading, Painting, Knitting, Photography, Gardening, Writing, Crafting",,"Japanese, Mediterranean, Mexican, Desserts, Chinese, Vegan, Seafood, BBQ, Italian","Non-Fiction, Fantasy, Mystery, Self-help, Fiction, Thriller, Science Fiction, Biographies, Romance, Poetry","FPS, Puzzle, Sports, Action, Simulation, Adventure, Indie, Strategy, RPG","Camping, Stargazing, Boating, Fishing, Bird Watching, Skiing, Hiking",Tech Gadgets,26
113,male,Yoga,"Horror, Romance, Drama, Sci-Fi, Mystery, Comedy",,"Writing, Painting, Photography, Cooking, Gardening, Dancing, Gaming, Knitting, Crafting, Reading",,"BBQ, Chinese, Vegan, Indian, Mediterranean","Science Fiction, Mystery, Fiction, Self-help, Non-Fiction, Fantasy","Action, Indie, Simulation, Puzzle, Sports, Adventure",,"Fashion, Minimalism, Tech Gadgets, Mindfulness",25
114,male,,"Comedy, Horror, Fantasy, Romance, Sci-Fi, Action, Drama, Documentary","Pop, EDM, Jazz, Hip-hop","Cooking, Gaming, Photography","Adventure Sports, Beaches, Cultural Festivals, Wildlife Safaris, Mountains, Countryside","Seafood, Chinese, BBQ, Japanese, Indian, Italian, Mexican, Mediterranean, Vegan","Thriller, Romance, Non-Fiction, Fiction, Fantasy, Poetry","Sports, FPS","Boating, Rock Climbing","Minimalism, Entrepreneurship, Fitness, DIY Projects, Volunteering",22
115,male,"Yoga, Gymnastics, Football, Swimming",Sci-Fi,"Reggae, Rock, Folk, Hip-hop","Dancing, Knitting, Reading, Writing, Photography","Road Trips, Luxury Resorts, Mountains","Desserts, Mediterranean, Vegan, Italian, Japanese, Seafood, Chinese, Indian","Biographies, Fantasy, Romance, Non-Fiction","Sports, RPG, Simulation, Puzzle, Action, Strategy, Indie, Fighting","Picnicking, Stargazing, Bird Watching, Skiing, Rock Climbing, Hiking, Boating","Mindfulness, Fashion, Socializing, Tech Gadgets",30
116,male,"Running, Cricket, Badminton, Yoga, Swimming, Tennis, Basketball","Action, Fantasy","Reggae, Pop, Rock, Classical, Blues","Reading, Gardening, Knitting, Photography, Writing, Cooking, Painting, Gaming, Dancing","Mountains, Beaches, Historical Sites, Luxury Resorts, Countryside, Adventure Sports, Road Trips, Wildlife Safaris","Italian, Mexican, Japanese, Seafood, BBQ","Non-Fiction, Poetry, Mystery, Thriller, Self-help, Fantasy, Fiction, Romance","Strategy, Fighting, RPG, Simulation","Boating, Stargazing, Skiing, Rock Climbing, Surfing, Fishing, Picnicking, Hiking, Camping","Fitness, DIY Projects, Socializing, Sustainability, Tech Gadgets, Minimalism, Fashion",23
117,male,,"Romance, Documentary, Animated, Horror, Drama, Sci-Fi, Comedy, Fantasy","Reggae, Folk, Pop, Jazz, Hip-hop, Classical","Reading, Cooking, Crafting","Cultural Festivals, Mountains, Countryside, Adventure Sports, Wildlife Safaris, Cities, Luxury Resorts, Beaches, Historical Sites, Road Trips","BBQ, Mexican","Biographies, Non-Fiction, Self-help, Science Fiction",Simulation,Skiing,"Tech Gadgets, Minimalism, Fashion, Sustainability, DIY Projects, Mindfulness",35
118,male,"Cycling, Gymnastics","Fantasy, Horror","Folk, Rock, Hip-hop, Jazz, Blues, Classical, EDM, Reggae, Country","Knitting, Photography, Painting, Gardening, Gaming","Adventure Sports, Beaches, Road Trips, Historical Sites, Cities, Wildlife Safaris, Countryside, Cultural Festivals, Mountains, Luxury Resorts",,Non-Fiction,"Puzzle, FPS, Adventure, Fighting","Rock Climbing, Bird Watching, Picnicking",,39
119,male,"Tennis, Cycling, Cricket, Yoga, Badminton, Swimming","Documentary, Animated, Drama, Mystery, Comedy, Fantasy, Action, Romance",,"Painting, Crafting, Cooking, Gaming, Dancing, Gardening, Writing, Reading, Knitting",,"Desserts, Mexican, BBQ","Self-help, Science Fiction, Poetry, Fantasy, Fiction, Non-Fiction, Thriller, Romance, Mystery, Biographies","Strategy, Simulation, Puzzle, RPG, Action, Sports","Camping, Rock Climbing, Bird Watching, Hiking, Surfing, Fishing, Boating, Stargazing",Entrepreneurship,22
120,male,"Yoga, Cricket, Badminton","Romance, Documentary, Sci-Fi, Drama, Mystery, Comedy, Fantasy, Horror, Animated, Action","Rock, EDM, Folk, Pop, Blues, Reggae, Jazz, Hip-hop, Classical","Knitting, Gardening, Reading","Wildlife Safaris, Cities","Vegan, Seafood, BBQ, Mexican, Mediterranean, Desserts, Indian, Japanese","Thriller, Science Fiction, Fiction, Self-help, Biographies, Fantasy, Non-Fiction","Sports, Adventure","Camping, Fishing, Bird Watching, Hiking, Stargazing, Surfing, Boating","Sustainability, Tech Gadgets, Entrepreneurship, Volunteering, DIY Projects, Mindfulness, Fitness, Minimalism, Socializing, Fashion",29
121,male,"Basketball, Tennis, Gymnastics, Cycling, Yoga, Swimming",Documentary,"Rock, Country, Jazz, Reggae, EDM, Classical, Blues, Pop, Hip-hop, Folk","Writing, Crafting, Gardening, Photography, Reading, Dancing, Cooking, Knitting, Gaming, Painting","Cities, Cultural Festivals, Road Trips, Adventure Sports, Historical Sites","Chinese, BBQ, Indian","Poetry, Mystery, Non-Fiction, Fiction","FPS, Fighting, Simulation, Sports, Action, Indie, Adventure, Puzzle, RPG","Fishing, Stargazing, Skiing","Minimalism, Entrepreneurship",43
122,male,"Yoga, Running, Swimming, Football, Cricket, Cycling, Tennis, Basketball, Badminton, Gymnastics","Drama, Action, Horror, Fantasy, Romance, Animated, Documentary, Sci-Fi","Classical, Pop, Blues","Knitting, Gardening, Writing","Adventure Sports, Road Trips, Cultural Festivals, Wildlife Safaris, Cities, Luxury Resorts, Countryside, Historical Sites, Beaches, Mountains","Mediterranean, Indian, Desserts, Japanese, Chinese, Vegan, Italian, Seafood","Mystery, Romance, Non-Fiction","Puzzle, Fighting","Stargazing, Surfing, Skiing, Camping, Fishing",DIY Projects,22
123,male,"Badminton, Basketball, Cricket, Gymnastics, Cycling, Swimming, Tennis, Yoga, Football, Running",,,"Cooking, Knitting, Writing, Photography, Crafting","Wildlife Safaris, Countryside, Luxury Resorts, Cities",,"Self-help, Poetry, Fiction, Non-Fiction, Biographies, Romance","Fighting, Indie, RPG, Adventure, Sports, Strategy, FPS","Surfing, Bird Watching, Stargazing, Camping, Rock Climbing, Skiing","Fashion, Tech Gadgets, Socializing, DIY Projects, Fitness, Entrepreneurship, Sustainability, Volunteering, Minimalism",26
124,male,"Swimming, Gymnastics","Comedy, Documentary, Fantasy, Action, Romance",EDM,"Cooking, Painting, Knitting, Dancing, Gaming, Photography, Crafting",,,"Biographies, Self-help, Non-Fiction, Science Fiction, Mystery, Poetry, Thriller, Fiction, Romance","Fighting, RPG, Action","Surfing, Hiking",,29
125,male,"Cycling, Yoga, Cricket, Badminton, Tennis, Football, Running","Fantasy, Horror, Comedy, Animated, Mystery, Drama, Sci-Fi, Romance, Action, Documentary",,"Reading, Cooking","Historical Sites, Wildlife Safaris, Cultural Festivals, Adventure Sports, Beaches, Road Trips","Chinese, Mexican, Vegan, Seafood, Indian","Mystery, Poetry, Fantasy, Science Fiction, Thriller, Romance, Biographies, Fiction, Non-Fiction",Simulation,Boating,"Minimalism, Entrepreneurship, Fitness",25
126,male,Basketball,"Documentary, Drama, Sci-Fi, Animated, Fantasy, Mystery, Comedy, Action, Horror",Blues,,"Luxury Resorts, Mountains, Wildlife Safaris, Cultural Festivals, Countryside","Seafood, Mexican, Chinese","Non-Fiction, Science Fiction, Thriller, Fantasy","Simulation, Indie, Action","Surfing, Bird Watching, Skiing, Picnicking, Camping, Stargazing, Boating, Fishing, Rock Climbing, Hiking","Fashion, Volunteering, Tech Gadgets, Sustainability, Minimalism",34
127,male,"Badminton, Tennis, Running, Basketball, Football, Cycling, Gymnastics, Cricket, Yoga, Swimming","Animated, Romance, Action, Sci-Fi, Comedy, Fantasy, Mystery","Folk, Classical, Blues, Jazz, Country, Pop, EDM, Hip-hop, Rock, Reggae",,"Historical Sites, Countryside, Cities, Luxury Resorts, Adventure Sports","Desserts, Italian, Chinese, Mexican, Seafood, Vegan, Japanese, Mediterranean, BBQ","Thriller, Self-help, Poetry, Romance, Biographies, Fiction, Science Fiction, Mystery","Strategy, RPG, Action","Boating, Rock Climbing, Picnicking, Hiking, Fishing, Camping, Skiing, Stargazing, Bird Watching","Tech Gadgets, Minimalism, Fashion, DIY Projects, Volunteering, Fitness, Socializing, Entrepreneurship",20
128,male,"Cycling, Badminton, Tennis, Cricket","Documentary, Fantasy, Comedy","Rock, Classical, Blues, Jazz, Hip-hop, Pop, Reggae, EDM, Country","Dancing, Writing, Crafting, Knitting, Cooking, Reading, Painting","Luxury Resorts, Historical Sites, Cities, Cultural Festivals, Wildlife Safaris, Adventure Sports, Countryside, Road Trips, Mountains, Beaches","Italian, Chinese, Desserts","Mystery, Thriller, Self-help, Non-Fiction, Biographies, Fiction, Romance, Poetry","Action, FPS, Strategy, RPG, Adventure, Fighting","Surfing, Rock Climbing, Fishing, Camping","Sustainability, Tech Gadgets, Socializing, DIY Projects",31
129,male,"Football, Gymnastics, Swimming, Yoga","Horror, Sci-Fi","Rock, Country, Classical, Hip-hop, Jazz, Reggae, Blues, Pop, EDM","Photography, Gaming, Gardening, Writing, Crafting, Cooking, Knitting, Reading, Painting","Mountains, Countryside, Adventure Sports","Vegan, Chinese, Seafood, Desserts, Japanese, BBQ, Italian",Biographies,"RPG, Adventure, Fighting, FPS, Simulation, Puzzle, Strategy","Fishing, Picnicking, Rock Climbing, Stargazing, Bird Watching, Surfing, Skiing, Camping","Socializing, Entrepreneurship, Sustainability, Minimalism, Mindfulness, Volunteering, DIY Projects, Fashion, Fitness",33
130,male,,"Romance, Animated, Horror, Drama","Jazz, Country, Blues","Crafting, Gardening, Writing","Road Trips, Countryside, Cultural Festivals, Historical Sites, Beaches, Luxury Resorts, Mountains, Cities","Italian, Japanese, BBQ, Seafood, Chinese, Mediterranean, Desserts, Indian, Vegan","Self-help, Biographies, Fiction, Thriller, Science Fiction, Mystery, Fantasy, Non-Fiction","RPG, Indie, Sports, Puzzle, FPS, Action, Simulation, Adventure, Strategy",Skiing,"Mindfulness, Volunteering",20
131,male,Swimming,"Mystery, Horror, Comedy",Pop,"Cooking, Photography, Knitting, Crafting, Writing, Reading",,"Desserts, Seafood, Mediterranean, BBQ, Vegan, Indian, Japanese, Mexican","Romance, Fiction","Sports, Strategy, Puzzle, Indie, Fighting",Skiing,"Sustainability, Tech Gadgets, Fitness, Minimalism, DIY Projects, Volunteering, Entrepreneurship",40
132,male,,"Documentary, Animated, Drama, Romance","Classical, Hip-hop, Blues, Reggae, Folk","Writing, Dancing, Crafting, Photography, Gardening","Luxury Resorts, Road Trips, Countryside, Cities, Adventure Sports, Historical Sites, Wildlife Safaris, Cultural Festivals, Mountains, Beaches","Desserts, Mediterranean, Vegan, BBQ, Japanese","Self-help, Fiction, Poetry, Science Fiction, Romance, Thriller, Mystery",,"Skiing, Rock Climbing, Camping","Sustainability, Socializing, Entrepreneurship, Fashion",32
133,male,,"Drama, Comedy, Action, Fantasy, Sci-Fi, Documentary, Mystery, Animated, Romance","Reggae, Pop, Country, Classical, Hip-hop, Folk, Blues, EDM","Photography, Cooking","Luxury Resorts, Mountains","Chinese, Mexican, Japanese, BBQ, Desserts, Seafood, Italian","Non-Fiction, Self-help, Fiction, Science Fiction, Poetry, Mystery, Thriller",Adventure,,"Fitness, Volunteering, Sustainability, Socializing, Entrepreneurship, Tech Gadgets, DIY Projects",27
134,male,"Tennis, Cricket, Cycling, Basketball, Yoga, Gymnastics, Swimming, Badminton","Horror, Romance, Mystery, Documentary, Fantasy, Sci-Fi, Comedy","Pop, Rock, Country, Folk, Blues, EDM, Reggae, Classical",,"Adventure Sports, Beaches, Countryside, Wildlife Safaris, Cities, Mountains, Road Trips, Luxury Resorts, Cultural Festivals","Vegan, Mexican, Mediterranean, Chinese, Italian, Seafood, Desserts, BBQ, Japanese, Indian","Non-Fiction, Thriller, Science Fiction, Self-help, Mystery, Romance, Fantasy, Fiction, Biographies, Poetry","Action, Sports, Indie, Simulation","Picnicking, Boating, Surfing, Camping, Bird Watching, Fishing, Skiing, Stargazing, Hiking, Rock Climbing","Sustainability, Fashion, Minimalism, Volunteering, Socializing, DIY Projects, Tech Gadgets, Fitness, Entrepreneurship, Mindfulness",51
135,male,"Cricket, Gymnastics, Cycling, Badminton, Swimming, Running, Basketball, Tennis","Drama, Fantasy","Pop, Hip-hop, Folk, Country, Blues","Dancing, Writing, Gaming, Reading, Crafting, Cooking, Gardening, Photography","Adventure Sports, Cultural Festivals, Historical Sites, Wildlife Safaris, Road Trips, Beaches, Countryside, Luxury Resorts, Mountains","Vegan, Japanese, Indian, Seafood, Italian","Non-Fiction, Fantasy, Thriller","Sports, RPG, Adventure, Action, FPS, Puzzle, Simulation, Strategy, Fighting, Indie","Rock Climbing, Fishing, Surfing, Bird Watching, Hiking, Boating, Camping, Picnicking, Skiing","Socializing, Sustainability, Entrepreneurship, DIY Projects, Volunteering, Minimalism",21
136,male,"Basketball, Badminton, Running, Football, Tennis","Horror, Drama, Romance",Pop,"Gardening, Knitting, Writing, Photography, Cooking, Crafting",,"BBQ, Desserts, Chinese, Mexican, Italian, Indian, Vegan, Japanese, Seafood",,"RPG, FPS, Strategy, Indie, Adventure, Action, Simulation, Puzzle, Fighting",Picnicking,"Sustainability, Tech Gadgets, Fashion",34
137,male,"Swimming, Cycling, Gymnastics, Badminton","Comedy, Horror, Romance, Animated, Fantasy, Action, Mystery, Drama, Sci-Fi","Folk, Reggae, Classical, Hip-hop, Blues",,"Beaches, Cities, Luxury Resorts, Wildlife Safaris, Historical Sites, Road Trips, Mountains, Countryside, Adventure Sports","Mediterranean, Desserts, Chinese, Japanese, Mexican, Vegan","Romance, Fiction, Mystery",Puzzle,Bird Watching,"Entrepreneurship, Fitness, Mindfulness, Tech Gadgets, Minimalism",23
138,male,"Swimming, Yoga, Gymnastics, Football, Cycling, Basketball, Tennis, Running, Cricket","Action, Comedy, Drama, Fantasy, Animated, Romance, Documentary, Horror, Mystery, Sci-Fi","EDM, Pop, Rock, Blues, Jazz, Country, Reggae, Hip-hop",Gaming,,"Desserts, Seafood, Mediterranean","Fantasy, Mystery, Thriller, Romance, Poetry, Biographies, Science Fiction, Non-Fiction, Self-help","RPG, Strategy","Surfing, Rock Climbing, Skiing","Fitness, Volunteering, DIY Projects, Tech Gadgets, Minimalism, Socializing, Fashion, Mindfulness, Sustainability, Entrepreneurship",33
139,male,"Football, Tennis, Badminton, Yoga, Gymnastics, Basketball, Swimming, Running, Cycling","Romance, Horror","Pop, Blues, Folk, Country, EDM, Hip-hop, Classical, Rock, Reggae","Gardening, Painting, Knitting, Gaming","Cities, Beaches, Mountains, Countryside, Cultural Festivals, Wildlife Safaris, Road Trips, Adventure Sports, Historical Sites","Japanese, Mediterranean, Chinese, Vegan, BBQ, Seafood, Desserts, Mexican, Italian","Self-help, Fiction, Romance, Biographies, Thriller, Mystery, Poetry, Non-Fiction","Fighting, Simulation","Skiing, Boating, Surfing, Camping, Picnicking","Minimalism, Socializing, DIY Projects",33
140,male,"Swimming, Yoga, Cycling, Cricket","Animated, Action, Mystery, Comedy, Drama, Sci-Fi, Documentary, Romance",,"Cooking, Writing, Photography, Gaming, Reading, Dancing, Painting, Knitting, Crafting, Gardening","Luxury Resorts, Road Trips, Cities","Chinese, Desserts, Japanese, Mexican, Mediterranean, Seafood, Indian","Fiction, Non-Fiction, Poetry, Thriller","Adventure, Sports, Action, Simulation, Fighting, Indie, Strategy",Surfing,,31
141,male,"Cycling, Football, Running, Badminton, Cricket","Horror, Animated, Documentary","Classical, Blues, Rock, Country","Reading, Dancing, Crafting, Photography","Countryside, Adventure Sports, Luxury Resorts, Cities, Mountains, Road Trips",Chinese,"Self-help, Romance, Fiction, Science Fiction, Non-Fiction, Fantasy, Poetry","Action, Indie","Skiing, Hiking, Boating, Stargazing, Picnicking, Surfing, Rock Climbing, Bird Watching, Fishing","Fitness, Socializing, Mindfulness, Tech Gadgets, Minimalism, DIY Projects, Volunteering, Fashion",19
142,male,"Football, Basketball, Tennis, Cycling, Yoga, Swimming, Cricket, Badminton, Gymnastics, Running","Romance, Animated, Drama, Sci-Fi, Horror, Mystery, Comedy",,"Painting, Cooking, Dancing, Crafting, Gaming, Photography, Knitting, Reading, Gardening","Adventure Sports, Countryside, Cultural Festivals, Luxury Resorts, Wildlife Safaris, Road Trips, Beaches, Cities, Mountains","Seafood, Mexican, Desserts, Japanese, Mediterranean, Italian","Fiction, Thriller, Self-help","Action, Simulation, RPG, Fighting, Adventure, Indie","Stargazing, Picnicking, Fishing, Rock Climbing, Camping","Fitness, DIY Projects, Minimalism, Entrepreneurship, Fashion, Socializing, Sustainability, Volunteering",33
143,male,"Tennis, Basketball, Running, Football, Badminton, Yoga, Cycling, Swimming, Cricket",Drama,"Blues, EDM","Cooking, Gardening, Reading, Writing, Photography","Road Trips, Beaches, Cities",,"Self-help, Mystery, Thriller","Sports, Action, Strategy, FPS, Fighting, Adventure, RPG, Puzzle, Simulation","Surfing, Fishing, Skiing, Bird Watching, Rock Climbing, Boating","Sustainability, Socializing, DIY Projects, Fitness, Volunteering, Minimalism",21
144,male,"Running, Yoga, Badminton, Swimming, Cycling, Football, Tennis, Basketball, Gymnastics","Fantasy, Sci-Fi","Folk, Classical, Hip-hop","Gardening, Gaming, Cooking, Knitting, Crafting, Painting, Reading, Writing, Dancing","Cities, Mountains, Beaches, Luxury Resorts, Cultural Festivals, Road Trips, Adventure Sports, Wildlife Safaris, Countryside, Historical Sites","Japanese, Mediterranean","Fiction, Mystery","Sports, Fighting, FPS, RPG, Puzzle, Simulation, Indie, Action, Strategy, Adventure","Bird Watching, Stargazing, Skiing, Rock Climbing",,24
145,male,"Gymnastics, Running, Swimming, Cycling, Football, Badminton, Basketball, Yoga, Tennis","Horror, Romance, Fantasy, Mystery, Documentary, Comedy",EDM,,"Cultural Festivals, Luxury Resorts, Countryside, Adventure Sports",,,Fighting,"Skiing, Hiking, Camping, Picnicking, Stargazing, Boating","Fashion, DIY Projects, Socializing, Sustainability, Fitness, Entrepreneurship",27
146,male,"Running, Cricket",,"Hip-hop, EDM, Pop, Jazz, Rock, Reggae, Blues, Classical, Folk, Country","Crafting, Dancing, Knitting, Reading","Cultural Festivals, Road Trips, Mountains, Historical Sites, Adventure Sports, Luxury Resorts","Seafood, Indian, Chinese, Desserts, Mexican","Fantasy, Mystery",,,"Fitness, Entrepreneurship, Tech Gadgets, Volunteering, Fashion, Socializing, Minimalism",40
147,male,"Football, Badminton, Basketball, Cycling, Gymnastics","Action, Horror","Blues, Reggae, Hip-hop, EDM, Jazz, Pop, Country, Rock, Classical, Folk","Knitting, Crafting, Photography, Writing, Gaming, Painting, Gardening, Cooking, Reading","Beaches, Countryside, Mountains","Chinese, Seafood, Mexican, Vegan, BBQ, Mediterranean",Non-Fiction,"Puzzle, Sports, Fighting","Stargazing, Surfing, Rock Climbing, Hiking, Skiing, Bird Watching, Boating","Fashion, Socializing",57
148,male,"Yoga, Running, Cycling, Badminton, Football, Gymnastics, Tennis, Cricket, Basketball, Swimming","Mystery, Romance, Animated, Action, Comedy, Horror, Sci-Fi, Fantasy, Drama","Classical, Folk, Pop, Blues, Jazz, Country","Crafting, Gaming, Reading, Photography, Dancing, Cooking, Knitting, Painting, Writing",Road Trips,"Seafood, Desserts, BBQ, Chinese","Biographies, Mystery, Self-help, Poetry, Romance, Science Fiction, Fiction, Thriller","Strategy, FPS, Fighting, Indie, Puzzle, Simulation",,"Tech Gadgets, Sustainability, Minimalism",51
149,male,,Drama,,,,"Chinese, Japanese, Seafood, BBQ, Mediterranean, Italian, Mexican, Vegan, Desserts",,"Puzzle, Simulation, Indie, Adventure, FPS, Strategy, Action","Picnicking, Bird Watching, Fishing, Surfing, Stargazing, Rock Climbing","Socializing, Fashion, Volunteering, DIY Projects, Sustainability, Entrepreneurship, Minimalism, Mindfulness, Tech Gadgets, Fitness",21
150,male,"Yoga, Badminton, Gymnastics, Cricket, Swimming, Basketball","Documentary, Sci-Fi, Horror, Romance",Reggae,,"Mountains, Cities, Beaches, Luxury Resorts, Historical Sites, Countryside, Cultural Festivals",Italian,Romance,"Fighting, Action, Puzzle, FPS, Simulation","Surfing, Boating, Bird Watching, Stargazing, Skiing, Picnicking, Camping","Entrepreneurship, Sustainability, Minimalism, Mindfulness, DIY Projects, Fitness, Tech Gadgets",37
151,male,"Yoga, Badminton, Football, Swimming, Running, Gymnastics, Cricket, Tennis","Comedy, Animated, Mystery","Jazz, Reggae, Country, EDM, Classical, Rock, Folk","Knitting, Crafting, Painting, Writing, Gaming","Luxury Resorts, Beaches, Road Trips, Mountains, Cities, Cultural Festivals, Countryside, Adventure Sports","Vegan, Japanese, Mediterranean, Indian","Mystery, Science Fiction, Thriller, Romance, Self-help, Poetry, Fiction, Biographies, Fantasy, Non-Fiction","Simulation, Fighting, Strategy, Adventure, Action, Indie, RPG, Puzzle","Hiking, Rock Climbing, Camping, Stargazing, Bird Watching","Fashion, Minimalism, Fitness",26
152,male,"Running, Cricket, Tennis, Gymnastics, Yoga",Sci-Fi,"Classical, EDM","Cooking, Gardening, Reading, Gaming","Cultural Festivals, Countryside, Adventure Sports, Luxury Resorts, Mountains, Road Trips, Historical Sites, Wildlife Safaris","Italian, Indian, BBQ, Chinese, Seafood, Mediterranean, Desserts, Japanese, Mexican","Biographies, Romance, Thriller, Fantasy, Fiction, Science Fiction","Action, Adventure, Indie, RPG, Fighting, FPS, Simulation","Skiing, Camping, Fishing, Surfing","Sustainability, Fashion, Socializing",53
